Constituency,Const. No.,Parliament Constituency,Leading Candidate,Leading Candidate,Margin,Status,State ID,Country
Surat,24,SURAT(24),MUKESHKUMAR CHANDRAKAANT DALAL,MUKESHKUMAR CHANDRAKAANT DALAL,0,Uncontested,S06,India
INDORE,26,INDORE(26),SHANKAR LALWANI,SHANKAR LALWANI,1175092,Result Declared,S12,India
Dhubri,2,DHUBRI(2),RAKIBUL HUSSAIN,RAKIBUL HUSSAIN,1012476,Result Declared,S03,India
VIDISHA,18,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,SHIVRAJ SINGH CHOUHAN,821408,Result Declared,S12,India
Navsari,25,NAVSARI(25),C R PATIL,C R PATIL,773551,Result Declared,S06,India
Gandhinagar,6,GANDHINAGAR(6),AMIT SHAH,AMIT SHAH,744716,Result Declared,S06,India
Diamond harbour,21,DIAMONDHARBOUR(21),ABHISHEK BANERJEE,ABHISHEK BANERJEE,710930,Result Declared,S25,India
Tripura West,1,TRIPURAWEST(1),BIPLAB KUMAR DEB,BIPLAB KUMAR DEB,611578,Result Declared,S23,India
Vadodara,20,VADODARA(20),DR. HEMANG JOSHI,DR. HEMANG JOSHI,582126,Result Declared,S06,India
RAIPUR,8,RAIPUR(8),BRIJMOHAN AGRAWAL,BRIJMOHAN AGRAWAL,575285,Result Declared,S26,India
TIRUVALLUR,1,TIRUVALLUR(1),Sasikanth Senthil,Sasikanth Senthil,572155,Result Declared,S22,India
Nalgonda,13,NALGONDA(13),KUNDURU RAGHUVEER,KUNDURU RAGHUVEER,559905,Result Declared,S29,India
Gautam Buddha Nagar,13,GAUTAMBUDDHANAGAR(13),DR. MAHESH SHARMA,DR. MAHESH SHARMA,559472,Result Declared,S24,India
KHAJURAHO,8,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),VISHNU DATT SHARMA (V.D.SHARMA),541229,Result Declared,S12,India
GUNA,4,GUNA(4),JYOTIRADITYA M. SCINDIA,JYOTIRADITYA M. SCINDIA,540929,Result Declared,S12,India
Panchmahal,18,PANCHMAHAL(18),RAJPALSINH MAHENDRASINH JADAV,RAJPALSINH MAHENDRASINH JADAV,509342,Result Declared,S06,India
Visakhapatnam,4,VISAKHAPATNAM(4),SRIBHARAT MATHUKUMILI,SRIBHARAT MATHUKUMILI,504247,Result Declared,S01,India
BHOPAL,19,BHOPAL(19),ALOK SHARMA,ALOK SHARMA,501499,Result Declared,S12,India
MANDSOUR,23,MANDSOUR(23),SUDHEER GUPTA,SUDHEER GUPTA,500655,Result Declared,S12,India
SRIPERUMBUDUR,5,SRIPERUMBUDUR(5),T R BAALU,T R BAALU,487029,Result Declared,S22,India
Tripura East,2,TRIPURAEAST(2),KRITI DEVI DEBBARMAN,KRITI DEVI DEBBARMAN,486819,Result Declared,S23,India
JABALPUR,13,JABALPUR(13),ASHISH DUBEY,ASHISH DUBEY,486674,Result Declared,S12,India
Rajkot,10,RAJKOT(10),PARSHOTTAMBHAI RUPALA,PARSHOTTAMBHAI RUPALA,484260,Result Declared,S06,India
SAGAR,5,SAGAR(5),DR. LATA WANKHEDE,DR. LATA WANKHEDE,471222,Result Declared,S12,India
Joynagar,19,JOYNAGAR(19),PRATIMA MONDAL,PRATIMA MONDAL,470219,Result Declared,S25,India
Khammam,17,KHAMMAM(17),RAMASAHAYAM RAGHURAM REDDY,RAMASAHAYAM RAGHURAM REDDY,467847,Result Declared,S29,India
Ahmedabad East,7,AHMEDABADEAST(7),HASMUKHBHAI PATEL (H.S.PATEL),HASMUKHBHAI PATEL (H.S.PATEL),461755,Result Declared,S06,India
Bhavnagar,15,BHAVNAGAR(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),455289,Result Declared,S06,India
DINDIGUL,22,DINDIGUL(22),SACHITHANANTHAM R,SACHITHANANTHAM R,443821,Result Declared,S22,India
DURG,7,DURG(7),VIJAY BAGHEL,VIJAY BAGHEL,438226,Result Declared,S26,India
HOSHANGABAD,17,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,DARSHAN SINGH CHOUDHARY,431696,Result Declared,S12,India
DEWAS,21,DEWAS(21),MAHENDRA SINGH SOLANKY,MAHENDRA SINGH SOLANKY,425225,Result Declared,S12,India
DAMOH,7,DAMOH(7),RAHUL SINGH LODHI,RAHUL SINGH LODHI,406426,Result Declared,S12,India
TIKAMGARH,6,TIKAMGARH(6),DR. VIRENDRA KUMAR,DR. VIRENDRA KUMAR,403312,Result Declared,S12,India
Chhota Udaipur,21,CHHOTAUDAIPUR(21),JASHUBHAI BHILUBHAI RATHVA,JASHUBHAI BHILUBHAI RATHVA,398777,Result Declared,S06,India
SHAHDOL,12,SHAHDOL(12),SMT. HIMADRI SINGH,SMT. HIMADRI SINGH,397340,Result Declared,S12,India
THOOTHUKKUDI,36,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,KANIMOZHI KARUNANIDHI,392738,Result Declared,S22,India
RAJSAMAND,22,RAJSAMAND(22),MAHIMA KUMARI MEWAR,MAHIMA KUMARI MEWAR,392223,Result Declared,S20,India
Malkajgiri,7,MALKAJGIRI(7),EATALA RAJENDER,EATALA RAJENDER,391475,Result Declared,S29,India
Rae Bareli,36,RAEBARELI(36),RAHUL GANDHI,RAHUL GANDHI,390030,Result Declared,S24,India
CHITTORGARH,21,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,CHANDRA PRAKASH JOSHI,389877,Result Declared,S20,India
PERAMBALUR,25,PERAMBALUR(25),ARUN NEHRU,ARUN NEHRU,389107,Result Declared,S22,India
Porbandar,11,PORBANDAR(11),DR. MANSUKH MANDAVIYA,DR. MANSUKH MANDAVIYA,383360,Result Declared,S06,India
BETUL,29,BETUL(29),DURGADAS (D. D.) UIKEY,DURGADAS (D. D.) UIKEY,379761,Result Declared,S12,India
Kodarma,5,KODARMA(5),ANNPURNA DEVI,ANNPURNA DEVI,377014,Result Declared,S27,India
UJJAIN,22,UJJAIN(22),ANIL FIROJIYA,ANIL FIROJIYA,375860,Result Declared,S12,India
Shillong,1,SHILLONG(1),DR. RICKY ANDREW J. SYNGKON,DR. RICKY ANDREW J. SYNGKON,371910,Result Declared,S15,India
JHALAWAR-BARAN,25,JHALAWAR-BARAN(25),DUSHYANT SINGH,DUSHYANT SINGH,370989,Result Declared,S20,India
Wayanad,4,WAYANAD(4),RAHUL GANDHI,RAHUL GANDHI,364422,Result Declared,S11,India
Sonitpur,11,SONITPUR(11),RANJIT DUTTA,RANJIT DUTTA,361408,Result Declared,S03,India
Kheda,17,KHEDA(17),DEVUSINH CHAUHAN,DEVUSINH CHAUHAN,357758,Result Declared,S06,India
Mumbai North,26,MUMBAINORTH(26),PIYUSH GOYAL,PIYUSH GOYAL,357608,Result Declared,S13,India
BHILWARA,23,BHILWARA(23),DAMODAR AGARWAL,DAMODAR AGARWAL,354606,Result Declared,S20,India
Mahabubabad,16,MAHABUBABAD(16),BALRAM NAIK PORIKA,BALRAM NAIK PORIKA,349165,Result Declared,S29,India
ROHTAK,7,ROHTAK(7),DEEPENDER SINGH HOODA,DEEPENDER SINGH HOODA,345298,Result Declared,S07,India
Guntur,13,GUNTUR(13),DR CHANDRA SEKHAR PEMMASANI,DR CHANDRA SEKHAR PEMMASANI,344695,Result Declared,S01,India
Amalapuram (SC),7,AMALAPURAM(SC)(7),G M HARISH (BALAYOGI),G M HARISH (BALAYOGI),342196,Result Declared,S01,India
CHENNAI NORTH,2,CHENNAINORTH(2),DR.KALANIDHI VEERASWAMY,DR.KALANIDHI VEERASWAMY,339222,Result Declared,S22,India
Hyderabad,9,HYDERABAD(9),ASADUDDIN OWAISI,ASADUDDIN OWAISI,338087,Result Declared,S29,India
Uttara Kannada,12,UTTARAKANNADA(12),VISHWESHWAR HEGDE KAGERI,VISHWESHWAR HEGDE KAGERI,337428,Result Declared,S10,India
Ghaziabad,12,GHAZIABAD(12),ATUL GARG,ATUL GARG,336965,Result Declared,S24,India
Nainital-Udhamsingh Nagar,4,NAINITAL-UDHAMSINGHNAGAR(4),AJAY BHATT,AJAY BHATT,334548,Result Declared,S28,India
Dahod,19,DAHOD(19),JASWANTSINH SUMANBHAI BHABHOR,JASWANTSINH SUMANBHAI BHABHOR,333677,Result Declared,S06,India
Basirhat,18,BASIRHAT(18),SK NURUL ISLAM,SK NURUL ISLAM,333547,Result Declared,S25,India
JAIPUR,7,JAIPUR(7),MANJU SHARMA,MANJU SHARMA,331767,Result Declared,S20,India
Dhanbad,7,DHANBAD(7),DULU MAHATO,DULU MAHATO,331583,Result Declared,S27,India
AJMER,13,AJMER(13),BHAGIRATH CHOUDHARY,BHAGIRATH CHOUDHARY,329991,Result Declared,S20,India
Osmanabad,40,OSMANABAD(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,329846,Result Declared,S13,India
Darrang-Udalguri,4,DARRANG-UDALGURI(4),DILIP SAIKIA,DILIP SAIKIA,329012,Result Declared,S03,India
Mahesana,4,MAHESANA(4),HARIBHAI PATEL,HARIBHAI PATEL,328046,Result Declared,S06,India
Srikakulam,2,SRIKAKULAM(2),KINJARAPU RAMMOHAN NAIDU,KINJARAPU RAMMOHAN NAIDU,327901,Result Declared,S01,India
